location,lon,lat
FRAMINGHAM MA 01728,-71.4161565,42.279286
BUFFALO NY 14240,-78.8226909,42.8869008
ROCHESTER NY 14603,-77.60686729999999,43.1614713
ROCHESTER NY 14650,-77.6196028,43.1604676
ROCHESTER NY 14652,-77.63,43.15
ROCHESTER NY 14692,-77.5977596,43.0855245
CHARLOTTE NC 28233,-80.8328724,35.2219554
CHARLOTTE NC 28266,-80.93945409999999,35.208999
NORCROSS GA 30091,-84.20912469999999,33.9418864
ATLANTA GA 30320,-84.44,33.64
TAMPA FL 33675,-82.43984379999999,27.9599391
MENTOR OH 44066,-81.339552,41.6661573
PAINESVILLE OH 45077,-81.245657,41.7244885
LANSING MI 48909,-84.5,42.68
NEENAH WI 54957,-88.4599999,44.19
MINNEAPOLIS MN 55440,-93.25999999999999,44.9799999
WICHITA KS 67201,-97.34132120000001,37.6966068
SALT LAKE CITY UT 84125,-111.94,40.7
SALT LAKE CITY UT 84130,-111.94,40.7
SAFFORD AZ 85548,-109.7125692,32.8343105
HAYWARD CA 94540,-122.1,37.6599999
HAMILTON OH NA,-84.5613355,39.3995008
BEREA OH NA,-81.8543026,41.3661614
